代码,名称,所属行业
SH600000,浦发银行,银行
SH600004,白云机场,机场航运
SH600006,东风汽车,汽车整车
SH600007,中国国贸,房地产开发
SH600008,首创环保,环保
SH600009,上海机场,机场航运
SH600010,包钢股份,钢铁
SH600011,华能国际,电力
SH600012,皖通高速,公路铁路运输
SH600015,华夏银行,银行
SH600016,民生银行,银行
SH600017,日照港,港口航运
SH600018,上港集团,港口航运
SH600019,宝钢股份,钢铁
SH600020,中原高速,公路铁路运输
SH600021,上海电力,电力
SH600022,山东钢铁,钢铁
SH600023,浙能电力,电力
SH600025,华能水电,电力
SH600026,中远海能,港口航运
SH600027,华电国际,电力
SH600028,中国石化,石油加工贸易
SH600029,南方航空,机场航运
SH600030,中信证券,证券
SH600031,三一重工,专用设备
SH600032,浙江新能,电力
SH600033,福建高速,公路铁路运输
SH600035,楚天高速,公路铁路运输
SH600036,招商银行,银行
SH600037,歌华有线,传媒
SH600038,中直股份,国防军工
SH600039,四川路桥,建筑装饰
SH600048,保利发展,房地产开发
SH600050,中国联通,通信服务
SH600051,宁波联合,综合
SH600052,东望时代,传媒
SH600053,九鼎投资,保险及其他
SH600054,黄山旅游,景点及旅游
SH600055,万东医疗,医疗器械
SH600056,中国医药,医药商业
SH600057,厦门象屿,物流
SH600058,五矿发展,贸易
SH600059,古越龙山,饮料制造
SH600060,海信视像,黑色家电
SH600061,国投资本,保险及其他
SH600062,华润双鹤,化学制药
SH600063,皖维高新,化工合成材料
SH600064,南京高科,房地产开发
SH600066,宇通客车,汽车整车
SH600067,冠城大通,房地产开发
SH600070,浙江富润,综合
SH600071,凤凰光学,光学光电子
SH600072,中船科技,国防军工
SH600073,上海梅林,食品加工制造
SH600075,新疆天业,化学原料
SH600076,康欣新材,家用轻工
SH600077,宋都股份,房地产开发
SH600079,人福医药,化学制药
SH600080,金花股份,中药
SH600081,东风科技,汽车零部件
SH600082,海泰发展,房地产开发
SH600084,中葡股份,饮料制造
SH600085,同仁堂,中药
SH600088,中视传媒,传媒
SH600089,特变电工,电力设备
SH600094,大名城,房地产开发
SH600095,湘财股份,证券
SH600096,云天化,化学制品
SH600097,开创国际,养殖业
SH600098,广州发展,电力
SH600099,林海股份,非汽车交运
SH600100,同方股份,计算机设备
SH600101,明星电力,电力
SH600103,青山纸业,造纸
SH600104,上汽集团,汽车整车
SH600105,永鼎股份,通信设备
SH600106,重庆路桥,公路铁路运输
SH600107,美尔雅,服装家纺
SH600108,亚盛集团,种植业与林业
SH600109,国金证券,证券
SH600110,XD诺德股,工业金属
SH600111,北方稀土,小金属
SH600113,浙江东日,零售
SH600114,东睦股份,通用设备
SH600115,中国东航,机场航运
SH600116,三峡水利,电力
SH600117,西宁特钢,钢铁
SH600118,中国卫星,国防军工
SH600119,长江投资,物流
SH600120,浙江东方,保险及其他
SH600121,郑州煤电,煤炭开采加工
SH600123,兰花科创,煤炭开采加工
SH600125,铁龙物流,公路铁路运输
SH600126,杭钢股份,钢铁
SH600127,金健米业,农产品加工
SH600128,XD弘业股,贸易
SH600129,太极集团,中药
SH600130,波导股份,消费电子
SH600131,国网信通,计算机应用
SH600132,重庆啤酒,饮料制造
SH600133,东湖高新,建筑装饰
SH600135,乐凯胶片,化工合成材料
SH600137,浪莎股份,服装家纺
SH600138,中青旅,景点及旅游
SH600141,兴发集团,化学制品
SH600143,金发科技,化工合成材料
SH600148,长春一东,汽车零部件
SH600149,廊坊发展,电力
SH600150,中国船舶,国防军工
SH600151,航天机电,电力设备
SH600152,维科技术,电力设备
SH600153,建发股份,物流
SH600155,华创阳安,证券
SH600156,华升股份,纺织制造
SH600157,永泰能源,电力
SH600158,中体产业,其他社会服务
SH600159,大龙地产,房地产开发
SH600160,巨化股份,化学制品
SH600161,天坛生物,生物制品
SH600162,香江控股,房地产开发
SH600163,中闽能源,电力
SH600165,新日恒力,化学制品
SH600166,福田汽车,汽车整车
SH600167,联美控股,电力
SH600168,武汉控股,环保
SH600169,太原重工,专用设备
SH600170,上海建工,建筑装饰
SH600171,上海贝岭,半导体及元件
SH600172,黄河旋风,通用设备
SH600173,卧龙地产,房地产开发
SH600176,中国巨石,建筑材料
SH600177,雅戈尔,服装家纺
SH600178,东安动力,汽车零部件
SH600179,安通控股,港口航运
SH600180,瑞茂通,物流
SH600183,生益科技,半导体及元件
SH600184,光电股份,国防军工
SH600185,格力地产,房地产开发
SH600186,莲花健康,食品加工制造
SH600187,国中水务,环保
SH600188,兖矿能源,煤炭开采加工
SH600189,泉阳泉,饮料制造
SH600190,锦州港,港口航运
SH600192,长城电工,电力设备
SH600193,创兴资源,建筑装饰
SH600195,中牧股份,农业服务
SH600196,复星医药,化学制药
SH600197,伊力特,饮料制造
SH600198,大唐电信,半导体及元件
SH600199,金种子酒,饮料制造
SH600200,江苏吴中,化学制药
SH600201,生物股份,农业服务
SH600202,哈空调,电力设备
SH600203,福日电子,消费电子
SH600206,有研新材,半导体及元件
